団体コード,都道府県名,市区町村名,性別,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳～94歳,95歳～99歳,100歳以上
-,合計,-,計,125927902,4450716,5138940,5446071,5619523,6273159,6410289,6616255,7451244,8221675,9745662,9424788,7821743,7378393,7770231,9604559,6680169,5575757,3807061,1847061,557944,86607
-,合計,-,男,61420626,2279668,2635024,2793011,2879636,3218643,3302687,3395864,3801460,4185468,4949126,4760262,3922885,3657943,3785404,4539801,2986726,2323849,1370107,515097,107864,10083
-,合計,-,女,64507276,2171048,2503916,2653060,2739887,3054516,3107602,3220391,3649784,4036207,4796536,4664526,3898858,3720450,3984827,5064758,3693443,3251908,2436954,1331964,450080,76524
010006,北海道,-,計,5183687,156638,187132,203762,216223,226351,228411,245520,286869,325711,389839,372043,333232,335730,374101,442686,304154,254051,178552,89762,26869,4111
010006,北海道,-,男,2450393,80315,95673,104103,110815,116333,115970,124078,143427,162212,193554,181281,159630,161327,176687,200998,129003,99754,63328,25392,5219,532
010006,北海道,-,女,2733294,76323,91459,99659,105408,110018,112441,121442,143442,163499,196285,190762,173602,174403,197414,241688,175151,154297,115224,64370,21650,3579
011002,北海道,札幌市,計,1960668,63778,73465,77181,80303,95746,101581,107241,122054,134627,156780,149093,128033,122256,128990,149659,99252,78234,54796,28228,8121,1250
011002,北海道,札幌市,男,916289,32851,37673,39238,40725,47351,48694,51982,59405,65318,75549,71235,60077,57772,60596,67479,42216,30297,18528,7546,1604,153
011002,北海道,札幌市,女,1044379,30927,35792,37943,39578,48395,52887,55259,62649,69309,81231,77858,67956,64484,68394,82180,57036,47937,36268,20682,6517,1097
011011,北海道,札幌市中央区,計,241244,7303,8143,8252,8607,13081,15551,15484,16530,17731,20319,20081,16976,14949,14009,15355,10091,8032,6329,3356,935,130
011011,北海道,札幌市中央区,男,109387,3763,4163,4221,4229,5969,7315,7333,7881,8333,9342,9069,7733,7039,6421,6707,4039,2786,1962,881,187,14
011011,北海道,札幌市中央区,女,131857,3540,3980,4031,4378,7112,8236,8151,8649,9398,10977,11012,9243,7910,7588,8648,6052,5246,4367,2475,748,116
011029,北海道,札幌市北区,計,285887,9715,11679,12214,12825,15858,14097,14844,17529,19474,22834,21423,17791,16978,18524,21694,14240,11394,7560,3953,1078,183
011029,北海道,札幌市北区,男,135929,4984,5986,6196,6548,8401,6920,7159,8653,9532,11196,10416,8613,8133,8845,9808,6077,4546,2643,1044,214,15
011029,北海道,札幌市北区,女,149958,4731,5693,6018,6277,7457,7177,7685,8876,9942,11638,11007,9178,8845,9679,11886,8163,6848,4917,2909,864,168
011037,北海道,札幌市東区,計,261971,9239,10084,10588,10834,13119,14435,15116,17108,18570,21626,20139,16336,15187,16302,19279,12650,10073,6733,3368,1031,154
011037,北海道,札幌市東区,男,124323,4741,5144,5285,5493,6599,7032,7476,8507,9172,10675,9969,7897,7368,7791,8640,5382,3811,2255,872,195,19
011037,北海道,札幌市東区,女,137648,4498,4940,5303,5341,6520,7403,7640,8601,9398,10951,10170,8439,7819,8511,10639,7268,6262,4478,2496,836,135
011045,北海道,札幌市白石区,計,213280,7208,7472,7512,7939,10594,13440,13536,14232,15365,17967,17115,14199,12772,12661,14530,9680,7809,5600,2737,806,106
011045,北海道,札幌市白石区,男,101350,3721,3837,3894,3960,5153,6638,6771,7138,7649,8880,8311,6908,6121,5974,6673,4055,2897,1841,765,153,11
011045,北海道,札幌市白石区,女,111930,3487,3635,3618,3979,5441,6802,6765,7094,7716,9087,8804,7291,6651,6687,7857,5625,4912,3759,1972,653,95
011053,北海道,札幌市豊平区,計,225082,7375,7935,8053,8342,11978,14784,14676,15233,15755,18295,17195,14654,13170,13129,15095,10548,8452,6253,3151,875,134
011053,北海道,札幌市豊平区,男,104101,3734,4120,4129,4250,5858,6839,6988,7314,7564,8773,8249,6799,6103,6088,6663,4349,3121,2108,841,191,20
011053,北海道,札幌市豊平区,女,120981,3641,3815,3924,4092,6120,7945,7688,7919,8191,9522,8946,7855,7067,7041,8432,6199,5331,4145,2310,684,114
011061,北海道,札幌市南区,計,135314,3709,4677,5129,5498,5755,4883,5572,6821,7877,9195,9219,8954,9619,10733,13044,8823,7206,5144,2581,763,112
011061,北海道,札幌市南区,男,62819,1950,2368,2623,2834,2992,2365,2779,3227,3813,4431,4375,4149,4487,5021,5984,3816,2882,1827,726,148,22
011061,北海道,札幌市南区,女,72495,1759,2309,2506,2664,2763,2518,2793,3594,4064,4764,4844,4805,5132,5712,7060,5007,4324,3317,1855,615,90
011070,北海道,札幌市西区,計,218245,7791,8383,8594,8671,9452,10928,12036,13890,15449,17466,16491,14249,13435,14182,16563,11139,8925,6224,3293,922,162
011070,北海道,札幌市西区,男,100717,4067,4283,4345,4356,4470,5052,5672,6683,7396,8315,7799,6574,6326,6632,7379,4670,3494,2123,870,181,30
011070,北海道,札幌市西区,女,117528,3724,4100,4249,4315,4982,5876,6364,7207,8053,9151,8692,7675,7109,7550,9184,6469,5431,4101,2423,741,132
011088,北海道,札幌市厚別区,計,125687,3319,4153,4893,5390,5557,5014,5417,6516,7524,9478,9629,8703,8897,9734,11348,7777,5908,3893,1897,557,83
011088,北海道,札幌市厚別区,男,57534,1695,2130,2475,2794,2686,2361,2639,3131,3621,4351,4419,3930,4054,4465,4998,3387,2389,1362,543,100,4
011088,北海道,札幌市厚別区,女,68153,1624,2023,2418,2596,2871,2653,2778,3385,3903,5127,5210,4773,4843,5269,6350,4390,3519,2531,1354,457,79
011096,北海道,札幌市手稲区,計,141958,4769,6020,6383,6447,5818,5004,6249,8383,9490,10863,9467,8602,9261,10955,12929,8205,6051,4006,2279,665,112
011096,北海道,札幌市手稲区,男,66915,2461,3088,3205,3359,2927,2478,3079,4083,4683,5277,4594,3895,4386,5136,5949,3667,2534,1371,595,140,8
011096,北海道,札幌市手稲区,女,75043,2308,2932,3178,3088,2891,2526,3170,4300,4807,5586,4873,4707,4875,5819,6980,4538,3517,2635,1684,525,104
011100,北海道,札幌市清田区,計,112000,3350,4919,5563,5750,4534,3445,4311,5812,7392,8737,8334,7569,7988,8761,9822,6099,4384,3054,1613,489,74
011100,北海道,札幌市清田区,男,53214,1735,2554,2865,2902,2296,1694,2086,2788,3555,4309,4034,3579,3755,4223,4678,2774,1837,1036,409,95,10
011100,北海道,札幌市清田区,女,58786,1615,2365,2698,2848,2238,1751,2225,3024,3837,4428,4300,3990,4233,4538,5144,3325,2547,2018,1204,394,64
012025,北海道,函館市,計,248106,6341,7849,8856,9712,9517,9428,10009,12323,14872,18307,18010,15952,16768,19631,24110,16353,13747,9930,4806,1386,199
012025,北海道,函館市,男,112851,3195,3982,4532,5113,4931,4754,4923,6076,7287,8919,8525,7291,7678,8932,10546,6608,4982,3181,1132,244,20
012025,北海道,函館市,女,135255,3146,3867,4324,4599,4586,4674,5086,6247,7585,9388,9485,8661,9090,10699,13564,9745,8765,6749,3674,1142,179
012033,北海道,小樽市,計,110426,2352,3041,3638,4139,4173,3481,3702,4549,5758,7727,7751,7147,7355,9004,12097,8535,7230,5105,2700,844,98
012033,北海道,小樽市,男,49829,1233,1501,1851,2114,2084,1722,1861,2261,2862,3698,3719,3364,3435,4146,5284,3535,2620,1707,694,129,9
012033,北海道,小樽市,女,60597,1119,1540,1787,2025,2089,1759,1841,2288,2896,4029,4032,3783,3920,4858,6813,5000,4610,3398,2006,715,89
012041,北海道,旭川市,計,327960,9813,11684,12755,13608,12800,13244,14275,17375,20544,24193,23192,20314,21266,24431,29729,21467,17211,12070,5988,1726,275
012041,北海道,旭川市,男,152288,5016,5883,6565,6902,6409,6733,7101,8660,10090,11813,10962,9379,9880,11368,13286,9046,6756,4362,1724,313,40
012041,北海道,旭川市,女,175672,4797,5801,6190,6706,6391,6511,7174,8715,10454,12380,12230,10935,11386,13063,16443,12421,10455,7708,4264,1413,235
012050,北海道,室蘭市,計,79986,2176,2527,2802,3324,3843,3314,3351,3748,4254,5624,5351,4681,4551,5724,7959,6039,5273,3339,1536,493,77
012050,北海道,室蘭市,男,38447,1064,1277,1466,1751,2328,1913,1834,1976,2192,2924,2689,2272,2212,2732,3521,2477,2129,1167,423,92,8
012050,北海道,室蘭市,女,41539,1112,1250,1336,1573,1515,1401,1517,1772,2062,2700,2662,2409,2339,2992,4438,3562,3144,2172,1113,401,69
012068,北海道,釧路市,計,163110,4334,5449,6324,6976,7049,6585,6936,8312,9734,12019,11432,10438,11045,12915,15199,10196,8777,5783,2726,771,110
012068,北海道,釧路市,男,76755,2220,2821,3166,3618,3669,3365,3506,4108,4863,6049,5574,5009,5290,5993,6765,4297,3483,2048,768,135,8
012068,北海道,釧路市,女,86355,2114,2628,3158,3358,3380,3220,3430,4204,4871,5970,5858,5429,5755,6922,8434,5899,5294,3735,1958,636,102
012076,北海道,帯広市,計,165047,5626,6414,6715,6810,7729,8407,8600,9586,10379,12543,11628,10598,10678,11310,12826,8906,7547,5334,2530,755,126
012076,北海道,帯広市,男,78696,2835,3254,3442,3507,3819,4330,4499,4857,5262,6268,5638,5066,5153,5339,5835,3720,2898,1990,816,151,17
012076,北海道,帯広市,女,86351,2791,3160,3273,3303,3910,4077,4101,4729,5117,6275,5990,5532,5525,5971,6991,5186,4649,3344,1714,604,109
012084,北海道,北見市,計,114326,3411,4065,4484,4660,4633,4589,4890,5867,7236,8620,7870,7357,7710,8474,10136,7142,6038,4243,2184,626,91
012084,北海道,北見市,男,54427,1785,2065,2292,2395,2488,2415,2497,2938,3703,4357,3854,3576,3729,3965,4545,3019,2410,1614,652,115,13
012084,北海道,北見市,女,59899,1626,2000,2192,2265,2145,2174,2393,2929,3533,4263,4016,3781,3981,4509,5591,4123,3628,2629,1532,511,78
012092,北海道,夕張市,計,7055,104,123,166,145,147,142,183,211,292,394,417,447,499,680,860,651,694,539,246,79,13
012092,北海道,夕張市,男,3290,58,60,77,65,97,85,107,112,158,205,223,227,261,338,408,258,261,196,65,18,3
012092,北海道,夕張市,女,3765,46,63,89,80,50,57,76,99,134,189,194,220,238,342,452,393,433,343,181,61,10
012106,北海道,岩見沢市,計,78112,1987,2630,3037,3265,2999,2825,3075,3652,4226,5596,5255,5119,5736,6179,7450,5133,4474,3307,1614,490,63
012106,北海道,岩見沢市,男,36487,999,1349,1525,1664,1602,1443,1561,1849,2114,2742,2520,2432,2751,2916,3404,2176,1735,1125,478,93,9
012106,北海道,岩見沢市,女,41625,988,1281,1512,1601,1397,1382,1514,1803,2112,2854,2735,2687,2985,3263,4046,2957,2739,2182,1136,397,54
012114,北海道,網走市,計,34016,1021,1176,1344,1493,1768,1466,1486,1754,2067,2535,2277,2135,2286,2533,3047,2005,1659,1130,593,213,28
012114,北海道,網走市,男,16672,505,607,693,783,998,805,800,933,1076,1328,1200,1078,1105,1183,1410,864,692,399,168,40,5
012114,北海道,網走市,女,17344,516,569,651,710,770,661,686,821,991,1207,1077,1057,1181,1350,1637,1141,967,731,425,173,23
012122,北海道,留萌市,計,19739,520,582,682,700,779,738,764,966,1150,1331,1420,1264,1313,1568,1943,1415,1272,832,359,117,24
012122,北海道,留萌市,男,9504,276,295,354,372,451,420,405,514,618,728,753,642,637,700,868,574,467,307,104,15,4
012122,北海道,留萌市,女,10235,244,287,328,328,328,318,359,452,532,603,667,622,676,868,1075,841,805,525,255,102,20
012131,北海道,苫小牧市,計,169528,5770,7004,7470,7691,7020,7727,8656,10049,11514,13657,11803,10374,10255,12403,14141,9087,7188,4594,2363,665,97
012131,北海道,苫小牧市,男,83030,3027,3698,3772,3897,3730,4143,4592,5205,5884,7040,5910,5173,4956,6038,6487,4100,2950,1616,668,135,9
012131,北海道,苫小牧市,女,86498,2743,3306,3698,3794,3290,3584,4064,4844,5630,6617,5893,5201,5299,6365,7654,4987,4238,2978,1695,530,88
012149,北海道,稚内市,計,32280,924,1143,1192,1259,1187,1322,1409,1702,1952,2418,2400,2221,2187,2516,2948,2033,1736,1138,443,128,22
012149,北海道,稚内市,男,15942,466,597,617,648,646,757,753,913,1027,1328,1243,1143,1096,1190,1371,854,690,431,149,20,3
012149,北海道,稚内市,女,16338,458,546,575,611,541,565,656,789,925,1090,1157,1078,1091,1326,1577,1179,1046,707,294,108,19
012157,北海道,美唄市,計,20001,380,487,602,726,671,575,648,762,1034,1313,1361,1345,1485,1653,2200,1561,1417,1089,517,150,25
012157,北海道,美唄市,男,9518,206,263,309,380,397,310,379,399,532,701,681,674,730,798,997,665,529,372,153,39,4
012157,北海道,美唄市,女,10483,174,224,293,346,274,265,269,363,502,612,680,671,755,855,1203,896,888,717,364,111,21
012165,北海道,芦別市,計,12430,222,283,309,394,358,380,363,415,517,745,779,814,937,1091,1444,1123,1025,743,330,117,24
012165,北海道,芦別市,男,5688,128,149,150,202,188,218,193,219,275,381,393,381,436,528,611,464,390,263,87,23,3
012165,北海道,芦別市,女,6742,94,134,159,192,170,162,170,196,242,364,386,433,501,563,833,659,635,480,243,94,21
012173,北海道,江別市,計,119701,3911,4721,4951,5636,6026,4497,5489,6405,6730,8584,8503,8078,8593,9107,9860,6792,5386,3852,1951,532,97
012173,北海道,江別市,男,56808,1967,2430,2473,2877,3200,2223,2729,3230,3251,4236,4078,3758,4195,4420,4593,2970,2157,1347,554,109,11
012173,北海道,江別市,女,62893,1944,2291,2478,2759,2826,2274,2760,3175,3479,4348,4425,4320,4398,4687,5267,3822,3229,2505,1397,423,86
012181,北海道,赤平市,計,9368,136,201,270,284,290,273,288,319,443,547,538,634,709,811,1111,797,800,557,270,72,18
012181,北海道,赤平市,男,4277,62,103,138,149,150,149,166,154,231,277,265,300,354,363,484,329,309,200,84,9,1
012181,北海道,赤平市,女,5091,74,98,132,135,140,124,122,165,212,270,273,334,355,448,627,468,491,357,186,63,17
012190,北海道,紋別市,計,20928,556,648,695,746,776,867,925,1100,1231,1319,1460,1434,1501,1622,2004,1430,1208,856,414,122,14
012190,北海道,紋別市,男,9825,253,332,370,382,377,441,479,571,645,686,719,708,759,756,894,571,438,308,117,18,1
012190,北海道,紋別市,女,11103,303,316,325,364,399,426,446,529,586,633,741,726,742,866,1110,859,770,548,297,104,13
012203,北海道,士別市,計,17676,411,500,643,690,547,512,574,775,922,1202,1173,1149,1287,1413,1736,1355,1263,907,442,142,33
012203,北海道,士別市,男,8390,211,257,342,360,296,308,304,430,479,597,577,535,637,668,779,569,504,358,153,23,3
012203,北海道,士別市,女,9286,200,243,301,330,251,204,270,345,443,605,596,614,650,745,957,786,759,549,289,119,30
012211,北海道,名寄市,計,26663,911,1023,991,1168,1492,1222,1339,1531,1588,1737,1769,1552,1572,1785,2194,1608,1439,1038,510,171,23
012211,北海道,名寄市,男,13048,447,560,515,557,781,737,736,829,840,900,910,790,775,835,996,708,563,381,153,30,5
012211,北海道,名寄市,女,13615,464,463,476,611,711,485,603,702,748,837,859,762,797,950,1198,900,876,657,357,141,18
012220,北海道,三笠市,計,7930,185,214,221,330,201,227,308,333,341,483,431,428,501,674,867,646,646,498,275,88,14
012220,北海道,三笠市,男,3629,95,93,112,160,95,124,174,169,204,257,232,198,247,324,382,276,233,154,67,21,1
012220,北海道,三笠市,女,4301,90,121,109,170,106,103,134,164,137,226,199,230,254,350,485,370,413,344,208,67,13
012238,北海道,根室市,計,24231,631,812,857,955,980,1146,1080,1186,1332,1607,1711,1710,1721,1882,2110,1645,1458,899,386,105,18
012238,北海道,根室市,男,11596,308,409,457,524,484,611,612,627,719,844,861,815,819,867,949,670,542,341,113,23,1
012238,北海道,根室市,女,12635,323,403,400,431,496,535,468,559,613,763,850,895,902,1015,1161,975,916,558,273,82,17
012246,北海道,千歳市,計,97716,3824,4420,4514,4969,6194,5793,5704,6428,6906,7736,7137,5718,5378,5499,6295,4175,3463,2228,1001,299,35
012246,北海道,千歳市,男,49626,1901,2284,2343,2697,3518,3196,3105,3351,3572,4020,3750,2974,2702,2664,2985,1813,1476,884,334,53,4
012246,北海道,千歳市,女,48090,1923,2136,2171,2272,2676,2597,2599,3077,3334,3716,3387,2744,2676,2835,3310,2362,1987,1344,667,246,31
012254,北海道,滝川市,計,38780,1123,1247,1491,1618,1686,1537,1623,1966,2230,2836,2699,2502,2458,2863,3620,2552,2248,1529,675,241,36
012254,北海道,滝川市,男,18459,602,640,784,920,932,828,837,997,1125,1425,1330,1230,1174,1284,1619,1076,841,569,189,54,3
012254,北海道,滝川市,女,20321,521,607,707,698,754,709,786,969,1105,1411,1369,1272,1284,1579,2001,1476,1407,960,486,187,33
012262,北海道,砂川市,計,16169,390,461,544,678,610,637,628,731,829,1066,1013,1028,1111,1244,1585,1173,1043,818,393,130,25
012262,北海道,砂川市,男,7458,194,225,281,333,295,318,313,377,414,531,469,491,548,563,732,488,403,316,115,27,5
012262,北海道,砂川市,女,8711,196,236,263,345,315,319,315,354,415,535,544,537,563,681,853,685,640,502,278,103,20
012271,北海道,歌志内市,計,2916,36,36,62,84,78,62,56,94,142,155,156,164,234,317,384,269,253,189,96,31,9
012271,北海道,歌志内市,男,1392,18,21,37,47,42,35,30,51,76,92,87,73,131,161,173,123,101,60,25,5,0
012271,北海道,歌志内市,女,1524,18,15,25,37,36,27,26,43,66,63,69,91,103,156,211,146,152,129,71,26,9
012289,北海道,深川市,計,19658,402,589,602,797,739,612,610,789,1011,1231,1297,1268,1355,1584,1982,1603,1426,1066,536,133,26
