pref,city,sex,count
北海道,-,計,5183687
北海道,-,男,2450393
北海道,-,女,2733294
北海道,札幌市,計,1960668
北海道,札幌市,男,916289
北海道,札幌市,女,1044379
北海道,札幌市中央区,計,241244
北海道,札幌市中央区,男,109387
北海道,札幌市中央区,女,131857
北海道,札幌市北区,計,285887
北海道,札幌市北区,男,135929
北海道,札幌市北区,女,149958
北海道,札幌市東区,計,261971
北海道,札幌市東区,男,124323
北海道,札幌市東区,女,137648
北海道,札幌市白石区,計,213280
北海道,札幌市白石区,男,101350
北海道,札幌市白石区,女,111930
北海道,札幌市豊平区,計,225082
北海道,札幌市豊平区,男,104101
北海道,札幌市豊平区,女,120981
北海道,札幌市南区,計,135314
北海道,札幌市南区,男,62819
北海道,札幌市南区,女,72495
北海道,札幌市西区,計,218245
北海道,札幌市西区,男,100717
北海道,札幌市西区,女,117528
北海道,札幌市厚別区,計,125687
北海道,札幌市厚別区,男,57534
北海道,札幌市厚別区,女,68153
北海道,札幌市手稲区,計,141958
北海道,札幌市手稲区,男,66915
北海道,札幌市手稲区,女,75043
北海道,札幌市清田区,計,112000
北海道,札幌市清田区,男,53214
北海道,札幌市清田区,女,58786
北海道,函館市,計,248106
北海道,函館市,男,112851
北海道,函館市,女,135255
北海道,小樽市,計,110426
北海道,小樽市,男,49829
北海道,小樽市,女,60597
北海道,旭川市,計,327960
北海道,旭川市,男,152288
北海道,旭川市,女,175672
北海道,室蘭市,計,79986
北海道,室蘭市,男,38447
北海道,室蘭市,女,41539
北海道,釧路市,計,163110
北海道,釧路市,男,76755
北海道,釧路市,女,86355
北海道,帯広市,計,165047
北海道,帯広市,男,78696
北海道,帯広市,女,86351
北海道,北見市,計,114326
北海道,北見市,男,54427
北海道,北見市,女,59899
北海道,夕張市,計,7055
北海道,夕張市,男,3290
北海道,夕張市,女,3765
北海道,岩見沢市,計,78112
北海道,岩見沢市,男,36487
北海道,岩見沢市,女,41625
北海道,網走市,計,34016
北海道,網走市,男,16672
北海道,網走市,女,17344
北海道,留萌市,計,19739
北海道,留萌市,男,9504
北海道,留萌市,女,10235
北海道,苫小牧市,計,169528
北海道,苫小牧市,男,83030
北海道,苫小牧市,女,86498
北海道,稚内市,計,32280
北海道,稚内市,男,15942
北海道,稚内市,女,16338
北海道,美唄市,計,20001
北海道,美唄市,男,9518
北海道,美唄市,女,10483
北海道,芦別市,計,12430
北海道,芦別市,男,5688
北海道,芦別市,女,6742
北海道,江別市,計,119701
北海道,江別市,男,56808
北海道,江別市,女,62893
北海道,赤平市,計,9368
北海道,赤平市,男,4277
北海道,赤平市,女,5091
北海道,紋別市,計,20928
北海道,紋別市,男,9825
北海道,紋別市,女,11103
北海道,士別市,計,17676
北海道,士別市,男,8390
北海道,士別市,女,9286
北海道,名寄市,計,26663
北海道,名寄市,男,13048
北海道,名寄市,女,13615
北海道,三笠市,計,7930
北海道,三笠市,男,3629
北海道,三笠市,女,4301
北海道,根室市,計,24231
北海道,根室市,男,11596
北海道,根室市,女,12635
北海道,千歳市,計,97716
北海道,千歳市,男,49626
北海道,千歳市,女,48090
北海道,滝川市,計,38780
北海道,滝川市,男,18459
北海道,滝川市,女,20321
北海道,砂川市,計,16169
北海道,砂川市,男,7458
北海道,砂川市,女,8711
北海道,歌志内市,計,2916
北海道,歌志内市,男,1392
北海道,歌志内市,女,1524
北海道,深川市,計,19658
北海道,深川市,男,9197
北海道,深川市,女,10461
北海道,富良野市,計,20617
北海道,富良野市,男,9716
北海道,富良野市,女,10901
北海道,登別市,計,46135
北海道,登別市,男,22142
北海道,登別市,女,23993
北海道,恵庭市,計,70108
北海道,恵庭市,男,34141
北海道,恵庭市,女,35967
北海道,伊達市,計,32901
北海道,伊達市,男,15277
北海道,伊達市,女,17624
北海道,北広島市,計,57767
北海道,北広島市,男,27724
北海道,北広島市,女,30043
北海道,石狩市,計,58096
北海道,石狩市,男,28157
北海道,石狩市,女,29939
北海道,北斗市,計,45025
北海道,北斗市,男,21164
北海道,北斗市,女,23861
北海道,石狩郡当別町,計,15445
北海道,石狩郡当別町,男,7506
北海道,石狩郡当別町,女,7939
北海道,石狩郡新篠津村,計,2913
北海道,石狩郡新篠津村,男,1403
北海道,石狩郡新篠津村,女,1510
北海道,松前郡松前町,計,6445
北海道,松前郡松前町,男,3045
北海道,松前郡松前町,女,3400
北海道,松前郡福島町,計,3702
北海道,松前郡福島町,男,1714
北海道,松前郡福島町,女,1988
北海道,上磯郡知内町,計,4044
北海道,上磯郡知内町,男,1980
北海道,上磯郡知内町,女,2064
北海道,上磯郡木古内町,計,3853
北海道,上磯郡木古内町,男,1781
北海道,上磯郡木古内町,女,2072
北海道,亀田郡七飯町,計,28062
北海道,亀田郡七飯町,男,12956
北海道,亀田郡七飯町,女,15106
北海道,茅部郡鹿部町,計,3721
北海道,茅部郡鹿部町,男,1777
北海道,茅部郡鹿部町,女,1944
北海道,茅部郡森町,計,14456
北海道,茅部郡森町,男,6768
北海道,茅部郡森町,女,7688
北海道,二海郡八雲町,計,15338
北海道,二海郡八雲町,男,7543
北海道,二海郡八雲町,女,7795
北海道,山越郡長万部町,計,4953
北海道,山越郡長万部町,男,2322
北海道,山越郡長万部町,女,2631
北海道,檜山郡江差町,計,7156
北海道,檜山郡江差町,男,3459
北海道,檜山郡江差町,女,3697
北海道,檜山郡上ノ国町,計,4467
北海道,檜山郡上ノ国町,男,2092
北海道,檜山郡上ノ国町,女,2375
北海道,檜山郡厚沢部町,計,3599
北海道,檜山郡厚沢部町,男,1720
北海道,檜山郡厚沢部町,女,1879
北海道,爾志郡乙部町,計,3428
北海道,爾志郡乙部町,男,1567
北海道,爾志郡乙部町,女,1861
北海道,奥尻郡奥尻町,計,2425
北海道,奥尻郡奥尻町,男,1293
北海道,奥尻郡奥尻町,女,1132
北海道,瀬棚郡今金町,計,4963
北海道,瀬棚郡今金町,男,2374
北海道,瀬棚郡今金町,女,2589
北海道,久遠郡せたな町,計,7368
北海道,久遠郡せたな町,男,3482
北海道,久遠郡せたな町,女,3886
北海道,島牧郡島牧村,計,1352
北海道,島牧郡島牧村,男,667
北海道,島牧郡島牧村,女,685
北海道,寿都郡寿都町,計,2799
北海道,寿都郡寿都町,男,1388
北海道,寿都郡寿都町,女,1411
北海道,寿都郡黒松内町,計,2690
北海道,寿都郡黒松内町,男,1291
北海道,寿都郡黒松内町,女,1399
北海道,磯谷郡蘭越町,計,4547
北海道,磯谷郡蘭越町,男,2195
北海道,磯谷郡蘭越町,女,2352
北海道,虻田郡ニセコ町,計,4946
北海道,虻田郡ニセコ町,男,2465
北海道,虻田郡ニセコ町,女,2481
北海道,虻田郡真狩村,計,1951
北海道,虻田郡真狩村,男,974
北海道,虻田郡真狩村,女,977
北海道,虻田郡留寿都村,計,1895
北海道,虻田郡留寿都村,男,969
北海道,虻田郡留寿都村,女,926
北海道,虻田郡喜茂別町,計,2078
北海道,虻田郡喜茂別町,男,1051
北海道,虻田郡喜茂別町,女,1027
北海道,虻田郡京極町,計,2853
北海道,虻田郡京極町,男,1386
北海道,虻田郡京極町,女,1467
北海道,虻田郡倶知安町,計,14789
北海道,虻田郡倶知安町,男,7551
北海道,虻田郡倶知安町,女,7238
北海道,岩内郡共和町,計,5659
北海道,岩内郡共和町,男,2881
北海道,岩内郡共和町,女,2778
北海道,岩内郡岩内町,計,11658
北海道,岩内郡岩内町,男,5505
北海道,岩内郡岩内町,女,6153
北海道,古宇郡泊村,計,1526
北海道,古宇郡泊村,男,730
北海道,古宇郡泊村,女,796
北海道,古宇郡神恵内村,計,797
北海道,古宇郡神恵内村,男,391
北海道,古宇郡神恵内村,女,406
北海道,積丹郡積丹町,計,1883
北海道,積丹郡積丹町,男,876
北海道,積丹郡積丹町,女,1007
北海道,古平郡古平町,計,2798
北海道,古平郡古平町,男,1315
北海道,古平郡古平町,女,1483
北海道,余市郡仁木町,計,3165
北海道,余市郡仁木町,男,1519
北海道,余市郡仁木町,女,1646
北海道,余市郡余市町,計,17920
北海道,余市郡余市町,男,8379
北海道,余市郡余市町,女,9541
北海道,余市郡赤井川村,計,1115
北海道,余市郡赤井川村,男,566
北海道,余市郡赤井川村,女,549
北海道,空知郡南幌町,計,7378
北海道,空知郡南幌町,男,3523
北海道,空知郡南幌町,女,3855
北海道,空知郡奈井江町,計,5090
北海道,空知郡奈井江町,男,2413
北海道,空知郡奈井江町,女,2677
北海道,空知郡上砂川町,計,2698
北海道,空知郡上砂川町,男,1237
北海道,空知郡上砂川町,女,1461
北海道,夕張郡由仁町,計,4871
北海道,夕張郡由仁町,男,2329
北海道,夕張郡由仁町,女,2542
北海道,夕張郡長沼町,計,10336
北海道,夕張郡長沼町,男,4970
北海道,夕張郡長沼町,女,5366
北海道,夕張郡栗山町,計,11308
北海道,夕張郡栗山町,男,5262
北海道,夕張郡栗山町,女,6046
北海道,樺戸郡月形町,計,2955
北海道,樺戸郡月形町,男,1501
北海道,樺戸郡月形町,女,1454
北海道,樺戸郡浦臼町,計,1692
北海道,樺戸郡浦臼町,男,817
北海道,樺戸郡浦臼町,女,875
北海道,樺戸郡新十津川町,計,6507
北海道,樺戸郡新十津川町,男,3035
北海道,樺戸郡新十津川町,女,3472
北海道,雨竜郡妹背牛町,計,2757
北海道,雨竜郡妹背牛町,男,1312
北海道,雨竜郡妹背牛町,女,1445
北海道,雨竜郡秩父別町,計,2331
北海道,雨竜郡秩父別町,男,1082
